"Figure 2a: Life expectancy at birth, UK and constituent countries",""
"Males, between 1980 to 1982 and 2014 to 2016",""
"",""
"Notes",""
"Unit","Years"
"",""
"Year","UK","England","Wales","Scotland","Northern Ireland"
"1980 to 1982","70.81","71.08","70.43","69.11","69.17"
"1981 to 1983","71.06","71.32","70.69","69.34","69.75"
"1982 to 1984","71.34","71.59","71.05","69.60","70.14"
"1983 to 1985","71.54","71.59","71.05","69.87","70.33"
"1984 to 1986","71.73","71.97","71.41","70.01","70.57"
"1985 to 1987","71.91","72.15","71.55","70.21","70.90"
"1986 to 1988","72.15","72.39","71.98","70.35","71.13"
"1987 to 1989","72.41","72.65","72.33","70.55","71.48"
"1988 to 1990","72.61","72.65","72.58","70.76","71.72"
"1989 to 1991","72.86","73.08","72.80","71.06","72.14"
"1990 to 1992","73.16","73.37","73.12","71.38","72.55"
"1991 to 1993","73.36","73.59","73.24","71.47","72.73"
"1992 to 1994","73.67","73.93","73.43","71.70","73.00"
"1993 to 1995","73.83","74.10","73.42","71.88","73.11"
"1994 to 1996","74.08","74.35","73.70","72.08","73.51"
"1995 to 1997","74.24","74.51","73.81","72.23","73.83"
"1996 to 1998","74.49","74.75","74.19","72.40","74.16"
"1997 to 1999","74.73","75.00","74.30","72.64","74.27"
"1998 to 2000","75.01","75.29","74.58","72.84","74.48"
"1999 to 2001","75.32","75.61","74.82","73.10","74.79"
"2000 to 2002","75.61","75.90","75.26","73.31","75.19"
"2001 to 2003","75.85","76.13","75.47","73.50","75.55"
"2002 to 2004","76.15","76.44","75.78","73.78","75.81"
"2003 to 2005","76.50","76.79","76.11","74.22","75.99"
"2004 to 2006","76.87","77.16","76.56","74.59","76.07"
"2005 to 2007","77.14","77.46","76.68","74.79","76.15"
"2006 to 2008","77.38","77.70","76.87","74.99","76.33"
"2007 to 2009","77.68","78.00","77.08","75.34","76.67"
"2008 to 2010","78.01","78.31","77.51","75.80","76.97"
"2009 to 2011","78.41","78.71","77.84","76.21","77.41"
"2010 to 2012","78.71","79.02","78.08","76.51","77.69"
"2011 to 2013","78.91","79.21","78.17","76.77","78.00"
"2012 to 2014","79.07","79.35","78.40","77.05","78.25"
"2013 to 2015","79.09","79.38","78.41","77.09","78.28"
"2014 to 2016","79.17","79.46","78.43","77.07","78.51"
